,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
56834,Vacant/Abandoned Building,17-00042635,2017-01-03,Front,,Open,,Vacant,False,False,2943.0,W,WASHINGTON,BLVD,60612.0,1156751.50731015,1900541.04760944,27.0,12.0,27.0,41.88286068279903,-87.69986160798479,"(41.88286068279902, -87.6998616079848)"
56841,Vacant/Abandoned Building,17-00068420,2017-01-04,Front,,Open,,Vacant,False,False,8022.0,S,EMERALD,AVE,60620.0,1172695.69198638,1851676.4341771998,21.0,6.0,71.0,41.74843357911536,-87.6427562193056,"(41.748433579115364, -87.6427562193056)"
56842,Vacant/Abandoned Building,17-00068968,2017-01-04,Front,,Open,,Vacant,False,False,7801.0,S,UNION,AVE,60620.0,1172986.71356718,1853145.70597247,6.0,6.0,71.0,41.75245903397721,-87.64164653602171,"(41.75245903397721, -87.64164653602171)"
56843,Vacant/Abandoned Building,17-00070421,2017-01-04,Front,,Open,,Vacant,False,False,7209.0,S,CARPENTER,ST,60621.0,1170560.33157355,1857013.27000032,6.0,7.0,68.0,41.763125314204785,-87.65042567766548,"(41.76312531420479, -87.65042567766548)"
56844,Vacant/Abandoned Building,17-00070425,2017-01-04,Front,,Open,,Vacant,False,False,6352.0,S,EVANS,AVE,60637.0,1182311.47592862,1863053.65278791,20.0,3.0,42.0,41.77943663258024,-87.60716897854887,"(41.779436632580236, -87.60716897854888)"
56845,Vacant/Abandoned Building,17-00098413,2017-01-06,Front,,Open,,Vacant,False,False,414.0,W,ENGLEWOOD,AVE,60621.0,1174603.78002794,1863499.66002127,20.0,7.0,68.0,41.78083566084043,-87.63541282119955,"(41.78083566084043, -87.63541282119954)"
56846,Vacant/Abandoned Building,17-00101874,2017-01-06,Front,,Open,,Vacant,True,False,2054.0,N,PULASKI,RD,60639.0,1149379.19237381,1913437.97012026,26.0,25.0,20.0,41.918397291772216,-87.72659828844799,"(41.918397291772216, -87.72659828844799)"
56848,Vacant/Abandoned Building,17-00017391,2017-01-02,Rear,,Open,BACK DOOR,Vacant,False,True,632.0,N,LATROBE,AVE,60644.0,1141249.76017514,1903678.16579461,37.0,15.0,25.0,41.891769211507615,-87.7567078458405,"(41.891769211507615, -87.75670784584048)"
56856,Vacant/Abandoned Building,17-00118792,2017-01-07,Front,,Open,FRONT ENTRANCE DOOR OPEN,Vacant,False,False,6008.0,S,MAY,ST,60621.0,1169679.72490049,1864953.56850407,16.0,7.0,68.0,41.78493361032161,-87.65342317898279,"(41.78493361032161, -87.6534231789828)"
56857,Vacant/Abandoned Building,17-00136514,2017-01-09,Front,,Open,,Vacant,True,False,4834.0,S,SEELEY,AVE,60609.0,1163507.61017487,1872600.91333367,15.0,9.0,61.0,41.80605058523871,-87.67583839331904,"(41.80605058523871, -87.67583839331903)"
